"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"57060",18441,159,0.0779856107272098,17576.5714285714,1,0.970924195223261,0.394922425952045,19,0.01,0.685483870967742,0.909090909090909,"India"
"57061",18442,160,0.0636872533415135,18089.2857142857,1,0.971252566735113,0.394922425952045,19,0.01,0.688,0.909090909090909,"India"
"57062",18443,161,0.047235726615689,18471.1428571429,1,0.971573604060914,0.394922425952045,19,0.01,0.69047619047619,0.909090909090909,"India"
"57063",18444,162,0.0350506491793586,18790.8571428571,1,0.971887550200803,0.394922425952045,19,0.01,0.692913385826772,0.909090909090909,"India"
"57064",18445,163,0.0289493866330983,19306.1428571429,1,0.972194637537239,0.394922425952045,19,0.01,0.6953125,0.909090909090909,"India"
"57065",18446,164,0.0216965549819567,19908.8571428571,1,0.972495088408644,0.394922425952045,19,0.01,0.697674418604651,0.909090909090909,"India"
"57066",18447,165,0.0226855770586109,20615.1428571429,1,0.972789115646258,0.394922425952045,19,0.01,0.7,0.909090909090909,"India"
"57067",18448,166,0.0156080178382708,21299.2857142857,1,0.973076923076923,0.394922425952045,19,0.01,0.702290076335878,0.909090909090909,"India"
"57068",18449,167,0.00944820916422287,21832,0,0.973358705994291,0.394922425952045,19,0.01,0.704545454545455,0.909090909090909,"India"
"57069",18450,168,0.0054657506953174,22419.4285714286,0,0.973634651600753,0.394922425952045,19,0.01,0.706766917293233,0.909090909090909,"India"
"57070",18451,169,0.00932362470970736,23236.4285714286,0,0.973904939422181,0.394922425952045,19,0.01,0.708955223880597,0.909090909090909,"India"
"57071",18452,170,0.0133575018643213,24036.8571428571,1,0.974169741697417,0.394922425952045,19,0.01,0.711111111111111,0.909090909090909,"India"
"57072",18453,171,0.0102876549719645,24657.2857142857,1,0.974429223744292,0.394922425952045,19,0.01,0.713235294117647,0.909090909090909,"India"
"57073",18454,172,0.0085609264022146,25193.8571428571,0,0.974683544303798,0.394922425952045,19,0.01,0.715328467153285,0.909090909090909,"India"
"57074",18455,173,0.0131514213457382,25834.4285714286,1,0.974932855863921,0.394922425952045,19,0.01,0.717391304347826,0.909090909090909,"India"
"57075",18456,174,0.0188320390699473,26726.8571428571,1,0.975177304964539,0.394922425952045,20,0.01,0.719424460431655,0.909090909090909,"India"
"57076",18457,175,0.0263805822873278,27680.5714285714,1,0.975177304964539,0.388888888888889,20,0.01,0.714285714285714,0.909090909090909,"India"
"57077",18458,176,0.0354201560416114,28794.4285714286,1,0.975417032484636,0.388888888888889,20,0.01,0.716312056737589,0.909090909090909,"India"
"57078",18459,177,0.0455798388339037,30004.2857142857,1,0.975652173913043,0.388888888888889,20,0.01,0.71830985915493,0.909090909090909,"India"
"57079",18460,178,0.0527314437712103,31166.8571428571,1,0.97588285960379,0.388888888888889,20,0.01,0.72027972027972,0.909090909090909,"India"
"57080",18461,179,0.0641938262188109,32608.4285714286,1,0.97588285960379,0.383036935704514,20,0.01,0.715277777777778,0.909090909090909,"India"
"57081",18462,180,0.058743132654304,34278.8571428571,1,0.958302308265078,0.45,24,0.01,0.806896551724138,0.818181818181818,"India"
"57082",18463,181,0.05780552168294,35512.2857142857,1,0.95864106351551,0.45,24,0.01,0.808219178082192,0.818181818181818,"India"
"57083",18464,182,0.0560001172493745,36699.5714285714,1,0.958974358974359,0.45,24,0.01,0.80952380952381,0.818181818181818,"India"
"57084",18465,183,0.0639012961384181,38563,1,0.959302325581395,0.45,24,0.01,0.810810810810811,0.818181818181818,"India"
"57085",18466,184,0.0696916953723721,40610.8571428571,1,0.959625090122567,0.45,24,0.01,0.812080536912752,0.818181818181818,"India"
"57086",18467,185,0.0696946099815469,42562.8571428571,1,0.959942775393419,0.45,24,0.01,0.813333333333333,0.818181818181818,"India"
"57087",18468,186,0.0605850702664994,43979.1428571429,1,0.960255500354862,0.45,24,0.01,0.814569536423841,0.818181818181818,"India"
"57088",18469,187,0.0533803835027633,45344.2857142857,1,0.96056338028169,0.45,24,0.01,0.815789473684211,0.818181818181818,"India"
"57089",18470,188,0.0442724323637483,46390.7142857143,1,0.960866526904263,0.45,24,0.01,0.816993464052288,0.818181818181818,"India"
"57090",18471,189,0.0462048662090297,48370.1428571429,1,0.961165048543689,0.45,24,0.01,0.818181818181818,0.818181818181818,"India"
"57091",18472,190,0.0296422038438713,49023.5714285714,1,0.977970102281668,0.377358490566038,20,0.01,0.729032258064516,0.909090909090909,"India"
"57092",18473,191,0.0147729813409945,49519.7142857143,1,0.978159126365055,0.377358490566038,20,0.01,0.730769230769231,0.909090909090909,"India"
"57093",18474,192,0.0126119708361374,51280.5714285714,1,0.978344934261408,0.377358490566038,20,0.01,0.732484076433121,0.909090909090909,"India"
"57094",18475,193,0.001736735685463,52155.4285714286,0,0.978527607361963,0.377358490566038,20,0.01,0.734177215189873,0.909090909090909,"India"
"57095",18476,194,-0.0106326594689134,52582.7142857143,0,0.978707224334601,0.377358490566038,20,0.01,0.735849056603774,0.909090909090909,"India"
"57096",18477,195,-0.0164088396118766,53667.4285714286,0,0.978883861236802,0.377358490566038,20,0.01,0.7375,0.909090909090909,"India"
"57097",18478,196,-0.00843858459659856,53797.8571428571,0,0.954416850047155,0.447684391080618,24,0.01,0.825,0.782608695652174,"India"
"57098",18479,197,-0.0149182925168197,54653.2857142857,0,0.946236559139785,0.445544554455446,24,0.01,0.825,0.75,"India"
"57099",18480,198,-0.0418262890209477,56046.8571428571,0,0.959330928173171,0.377172653534183,19,0.01,0.73125,0.84,"India"
"57100",18481,199,-0.0513048526310439,56089,0,0.959621451104101,0.386388583973655,19,0.01,0.73125,0.846153846153846,"India"
"57101",18482,200,-0.0529126530706477,57469.5714285714,0,0.959890610756609,0.3953125,19,0.01,0.73125,0.851851851851852,"India"
"57102",18483,201,-0.056639568608169,58768.4285714286,0,0.960140679953107,0.403960396039604,19,0.01,0.73125,0.857142857142857,"India"
"57103",18484,202,-0.0616485380053848,58990,0,0.960373620152845,0.41234684260132,19,0.01,0.73125,0.862068965517241,"India"
"57104",18485,203,-0.0454012573561166,60197.7142857143,0,0.960591133004926,0.420485175202156,19,0.01,0.73125,0.866666666666667,"India"
"57105",18486,204,-0.0199415891729468,61728.7142857143,0,0.960794701986755,0.428387650085763,19,0.01,0.73125,0.870967741935484,"India"
"57106",18487,205,-0.0244526981402627,62016.5714285714,0,0.960985626283367,0.436065573770492,19,0.01,0.73125,0.875,"India"
"57107",18488,206,-0.0249661476428869,62473,0,0.961165048543689,0.443529411764706,19,0.01,0.73125,0.878787878787879,"India"
"57108",18489,207,-0.0390102983488792,62420.2857142857,0,0.961333977767037,0.450788880540947,19,0.01,0.73125,0.882352941176471,"India"
"57109",18490,208,-0.0386997688394445,61798.4285714286,0,0.961493308288331,0.457853025936599,19,0.01,0.73125,0.885714285714286,"India"
"57110",18491,209,-0.0503807987994019,62000.8571428571,0,0.961643835616438,0.464730290456431,19,0.01,0.73125,0.888888888888889,"India"
"57111",18492,210,-0.0635251124054611,62516.4285714286,0,0.961786269717841,0.471428571428571,19,0.01,0.73125,0.891891891891892,"India"
"57112",18493,211,-0.0468654863763445,62898.2857142857,0,0.96192124621376,0.477955271565495,19,0.01,0.73125,0.894736842105263,"India"
