"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"46355",19117,835,-0.0303917397590856,43928.5714285714,0,0.748741283923135,0.855067149470596,21,0.01,0.735593220338983,0.863377609108159,"France"
"46356",19118,836,-0.0410175381454024,42108,0,0.748745294855709,0.855336368234699,21,0.01,0.735593220338983,0.863636363636364,"France"
"46357",19119,837,-0.0496344050395715,40461.7142857143,0,0.748749290666806,0.855604587114226,21,0.01,0.735593220338983,0.863894139886578,"France"
"46358",19120,838,-0.0673214084537516,39404.2857142857,0,0.748753271441778,0.855871811678079,21,0.01,0.735593220338983,0.864150943396226,"France"
"46359",19121,839,-0.106592070835249,39204.4285714286,0,0.748757237265337,0.856138047453812,21,0.01,0.735593220338983,0.864406779661017,"France"
"46360",19122,840,-0.020495990533219,37682.7142857143,0,0.748761188221559,0.856403299928022,21,0.01,0.735593220338983,0.864661654135338,"France"
"46361",19123,841,-0.0461394113201854,36614,0,0.748765124393891,0.856667574546721,21,0.01,0.735593220338983,0.864915572232645,"France"
"46362",19124,842,-0.0448781308417796,35441.2857142857,0,0.748769045865157,0.856930876715717,21,0.01,0.735593220338983,0.865168539325843,"France"
"46363",19125,843,-0.0394298851204706,34380.2857142857,0,0.748772952717563,0.857193211800981,21,0.01,0.735593220338983,0.865420560747664,"France"
"46364",19126,844,-0.0359494118178371,33309,0,0.748776845032703,0.857454585129016,21,0.01,0.735593220338983,0.865671641791045,"France"
"46365",19127,845,-0.0336420898477603,32383.2857142857,0,0.748780722891566,0.857715001987221,21,0.01,0.735593220338983,0.865921787709497,"France"
"46366",19128,846,-0.0503635245186672,32181.4285714286,0,0.74878458637454,0.857974467624243,21,0.01,0.735593220338983,0.866171003717472,"France"
"46367",19129,847,-0.168938648243941,30362.2857142857,0,0.748788435561417,0.858232987250343,21,0.01,0.735593220338983,0.866419294990724,"France"
"46368",19130,848,-0.137730734985903,33775.5714285714,0,0.748792270531401,0.858490566037736,21,0.01,0.735593220338983,0.866666666666667,"France"
"46369",19131,849,-0.127315178272769,32589,0,0.748796091363112,0.858747209120944,21,0.01,0.735593220338983,0.866913123844732,"France"
"46370",19132,850,-0.116485261126666,31381,0,0.74879989813459,0.85900292159714,21,0.01,0.735593220338983,0.867158671586716,"France"
"46371",19133,851,-0.100856715843117,30245,0,0.748803690923303,0.859257708526483,21,0.01,0.735593220338983,0.867403314917127,"France"
